peers,series,n,dropped,mean,std,median,min,max
1,1,100,0,0.9954549499999998,0.28545342750181296,0.8506765,0.725236,2.0008719999999998
10,1,100,0,1.02800684,0.28075752221552386,0.9443735,0.6910919999999999,2.192496
100,1,100,0,1.04454,0.4098186549555002,0.9517359999999999,0.73359,4.1852599999999995
500,1,100,0,1.248703,0.3591560692417318,1.14909,0.879635,3.627688
1000,1,100,0,1.5078705,0.3753613707452964,1.3928729999999998,1.076368,2.7963769999999997
3000,1,100,0,2.7382092199999994,1.1090707917401497,2.676536,1.636307,10.913796999999999
